interaction_id,user_id,item_id,interaction_type,rating,timestamp,session_id
90,5,287,view,,2023-10-27,5_20231027_00
91,5,487,click,,2023-06-18,5_20230618_00
92,5,312,purchase,4.0,2023-07-04,5_20230704_00
93,5,151,rating,5.0,2024-03-26,5_20240326_00
94,5,258,view,,2023-12-04,5_20231204_00
95,5,175,click,,2023-09-18,5_20230918_00
96,5,277,click,,2023-08-01,5_20230801_00
97,5,286,view,,2024-11-09,5_20241109_00
98,5,347,view,,2023-08-31,5_20230831_00
99,5,57,view,,2024-01-30,5_20240130_00
100,5,337,rating,2.0,2023-10-06,5_20231006_00
101,5,121,click,,2023-05-11,5_20230511_00
102,5,192,click,,2024-02-17,5_20240217_00
103,5,91,click,,2024-03-02,5_20240302_00
104,5,332,view,,2024-01-31,5_20240131_00
105,5,309,click,,2024-10-16,5_20241016_00
106,5,379,click,,2024-10-03,5_20241003_00
107,5,327,view,,2024-03-27,5_20240327_00
108,5,445,click,,2024-06-24,5_20240624_00
109,5,407,rating,3.0,2023-06-28,5_20230628_00
110,5,424,click,,2024-05-02,5_20240502_00
111,5,380,rating,5.0,2023-05-10,5_20230510_00
112,5,257,purchase,3.0,2024-02-10,5_20240210_00
113,5,377,view,,2024-03-24,5_20240324_00
114,5,91,rating,3.0,2024-05-04,5_20240504_00
115,5,109,click,,2024-08-04,5_20240804_00
116,5,162,click,,2023-04-21,5_20230421_00
117,5,23,purchase,4.0,2024-11-15,5_20241115_00
118,5,327,view,,2023-04-19,5_20230419_00
119,5,237,purchase,3.0,2023-05-09,5_20230509_00
120,6,41,click,,2023-10-22,6_20231022_00
121,6,113,view,,2023-06-05,6_20230605_00
122,6,67,purchase,3.0,2023-04-13,6_20230413_00
123,6,297,click,,2024-12-27,6_20241227_00
124,6,105,rating,3.0,2023-07-28,6_20230728_00
125,6,74,view,,2023-09-15,6_20230915_00
126,6,63,purchase,4.0,2023-12-19,6_20231219_00
127,6,487,view,,2023-02-12,6_20230212_00
128,6,233,view,,2024-12-06,6_20241206_00
129,6,274,rating,3.0,2024-08-03,6_20240803_00
130,6,483,view,,2024-04-04,6_20240404_00
131,7,127,view,,2024-04-22,7_20240422_00
132,8,334,click,,2024-07-19,8_20240719_00
133,8,404,click,,2024-06-07,8_20240607_00
134,8,368,view,,2024-09-15,8_20240915_00
135,8,124,click,,2023-11-25,8_20231125_00
136,8,158,view,,2024-09-13,8_20240913_00
137,8,277,view,,2023-04-29,8_20230429_00
138,8,293,click,,2023-02-18,8_20230218_00
139,8,27,click,,2023-05-29,8_20230529_00
140,8,24,purchase,4.0,2024-02-29,8_20240229_00
141,8,259,view,,2024-08-11,8_20240811_00
142,8,263,purchase,4.0,2024-07-28,8_20240728_00
143,8,174,purchase,5.0,2024-05-03,8_20240503_00
144,8,206,click,,2023-11-10,8_20231110_00
145,8,471,view,,2024-06-04,8_20240604_00
146,8,15,view,,2024-04-28,8_20240428_00
147,8,297,click,,2023-03-22,8_20230322_00
148,8,266,click,,2023-02-21,8_20230221_00
149,8,374,click,,2024-05-22,8_20240522_00
150,8,99,view,,2024-12-23,8_20241223_00
151,8,317,view,,2023-05-13,8_20230513_00
152,8,378,view,,2024-11-23,8_20241123_00
153,8,403,click,,2024-07-15,8_20240715_00
154,8,439,click,,2023-01-03,8_20230103_00
155,8,230,view,,2023-10-02,8_20231002_00
156,8,194,purchase,4.0,2024-10-13,8_20241013_00
157,8,143,view,,2024-01-16,8_20240116_00
158,8,341,click,,2023-06-03,8_20230603_00
159,8,484,view,,2024-05-23,8_20240523_00
160,8,378,view,,2024-08-22,8_20240822_00
161,8,454,click,,2024-11-13,8_20241113_00
162,8,495,click,,2024-10-13,8_20241013_00
163,8,111,view,,2024-09-08,8_20240908_00
164,8,345,rating,4.0,2023-02-25,8_20230225_00
165,8,441,view,,2023-01-17,8_20230117_00
166,8,347,view,,2024-03-08,8_20240308_00
167,8,347,view,,2023-08-26,8_20230826_00
168,8,250,purchase,1.0,2023-10-15,8_20231015_00
169,8,122,click,,2024-04-27,8_20240427_00
170,8,217,view,,2023-05-21,8_20230521_00
171,8,156,view,,2023-06-10,8_20230610_00
172,8,212,click,,2024-02-23,8_20240223_00
173,8,494,view,,2023-02-23,8_20230223_00
174,8,230,click,,2024-07-21,8_20240721_00
175,8,352,click,,2024-03-08,8_20240308_00
176,9,443,view,,2024-12-27,9_20241227_00
177,9,471,view,,2023-08-05,9_20230805_00
178,9,78,click,,2023-06-23,9_20230623_00
179,9,103,view,,2024-01-19,9_20240119_00
180,9,418,view,,2023-01-07,9_20230107_00
181,9,99,view,,2024-09-19,9_20240919_00
182,9,464,view,,2023-09-11,9_20230911_00
183,9,462,view,,2024-07-26,9_20240726_00
184,9,259,click,,2024-08-24,9_20240824_00
185,9,57,view,,2024-08-28,9_20240828_00
186,9,485,purchase,5.0,2023-06-03,9_20230603_00
187,9,418,view,,2023-08-28,9_20230828_00
188,9,219,click,,2024-10-03,9_20241003_00
189,9,496,click,,2023-08-27,9_20230827_00
190,9,98,purchase,4.0,2024-08-15,9_20240815_00
191,9,437,view,,2023-03-09,9_20230309_00
192,9,361,rating,5.0,2024-06-28,9_20240628_00
193,10,91,view,,2024-05-31,10_20240531_00
194,10,182,click,,2024-08-10,10_20240810_00
195,10,213,purchase,3.0,2023-04-23,10_20230423_00
196,10,179,view,,2023-10-18,10_20231018_00
197,10,237,click,,2024-12-11,10_20241211_00
198,10,244,purchase,4.0,2024-01-12,10_20240112_00
199,11,75,purchase,5.0,2023-04-30,11_20230430_00
200,11,259,view,,2023-07-24,11_20230724_00
201,11,179,view,,2024-11-27,11_20241127_00
202,11,275,click,,2024-09-24,11_20240924_00
203,11,259,view,,2023-04-17,11_20230417_00
204,11,297,click,,2024-04-04,11_20240404_00
205,11,314,purchase,5.0,2024-08-16,11_20240816_00
206,11,28,view,,2024-06-17,11_20240617_00
207,11,264,click,,2023-10-13,11_20231013_00
208,11,407,click,,2024-02-23,11_20240223_00
209,11,226,view,,2024-06-06,11_20240606_00
210,11,225,view,,2024-06-29,11_20240629_00
211,11,236,view,,2024-08-12,11_20240812_00
212,11,191,purchase,4.0,2023-07-05,11_20230705_00
213,11,204,click,,2023-09-11,11_20230911_00
214,11,201,rating,5.0,2023-04-24,11_20230424_00
215,11,289,view,,2024-05-20,11_20240520_00
216,11,289,click,,2023-11-03,11_20231103_00
217,11,426,click,,2024-08-29,11_20240829_00
218,11,475,view,,2023-08-23,11_20230823_00
219,11,50,view,,2023-01-18,11_20230118_00
220,11,263,view,,2023-04-30,11_20230430_00
221,11,428,rating,3.0,2023-04-07,11_20230407_00
222,12,282,click,,2024-11-04,12_20241104_00
223,12,393,view,,2024-06-22,12_20240622_00
224,12,277,view,,2023-06-29,12_20230629_00
225,12,24,view,,2023-03-25,12_20230325_00
226,12,190,view,,2024-09-07,12_20240907_00
227,12,477,rating,4.0,2024-01-13,12_20240113_00
228,12,359,click,,2023-03-31,12_20230331_00
229,12,188,view,,2024-08-15,12_20240815_00
230,12,480,click,,2024-03-21,12_20240321_00
231,12,393,click,,2023-01-17,12_20230117_00
232,12,338,click,,2023-08-30,12_20230830_00
233,12,18,click,,2024-12-07,12_20241207_00
234,12,333,click,,2024-04-15,12_20240415_00
235,12,460,view,,2023-04-23,12_20230423_00
236,12,348,view,,2024-07-13,12_20240713_00
237,12,131,view,,2023-09-27,12_20230927_00
238,12,259,purchase,4.0,2023-08-09,12_20230809_00
239,12,188,view,,2024-11-12,12_20241112_00
240,12,222,click,,2023-10-11,12_20231011_00
241,12,132,purchase,5.0,2024-03-15,12_20240315_00
242,12,149,view,,2024-07-03,12_20240703_00
243,12,138,view,,2023-06-20,12_20230620_00
244,12,297,rating,4.0,2024-05-23,12_20240523_00
245,12,274,view,,2023-12-07,12_20231207_00
246,12,121,click,,2024-03-15,12_20240315_00
247,12,284,view,,2024-12-05,12_20241205_00
248,12,467,click,,2024-06-16,12_20240616_00
249,12,300,click,,2023-01-14,12_20230114_00
250,12,367,view,,2024-05-02,12_20240502_00
251,12,445,click,,2023-02-21,12_20230221_00
252,12,167,rating,4.0,2024-06-10,12_20240610_00
253,12,275,view,,2023-01-19,12_20230119_00
254,12,146,click,,2023-01-15,12_20230115_00
255,12,308,view,,2023-06-07,12_20230607_00
256,12,61,click,,2024-11-16,12_20241116_00
257,12,168,purchase,2.0,2023-10-09,12_20231009_00
258,12,192,view,,2023-03-10,12_20230310_00
259,12,222,purchase,5.0,2023-11-12,12_20231112_00
260,12,69,click,,2023-08-14,12_20230814_00
261,12,487,view,,2024-09-29,12_20240929_00
262,12,308,click,,2023-12-05,12_20231205_00
263,12,114,purchase,4.0,2024-04-06,12_20240406_00
264,12,263,rating,4.0,2023-02-24,12_20230224_00
265,12,326,view,,2024-10-28,12_20241028_00
266,12,466,view,,2023-04-14,12_20230414_00
267,12,295,purchase,5.0,2023-08-27,12_20230827_00
268,12,437,purchase,1.0,2024-09-12,12_20240912_00
269,12,18,click,,2023-10-21,12_20231021_00
270,12,41,click,,2024-09-29,12_20240929_00
271,12,405,view,,2023-04-11,12_20230411_00
272,13,84,view,,2024-01-08,13_20240108_00
273,13,21,click,,2024-10-09,13_20241009_00
274,13,126,view,,2023-05-23,13_20230523_00
275,13,130,view,,2023-02-25,13_20230225_00
276,13,98,view,,2023-07-27,13_20230727_00
277,13,201,click,,2023-02-04,13_20230204_00
278,13,60,purchase,3.0,2023-05-20,13_20230520_00
279,13,382,view,,2024-01-18,13_20240118_00
280,13,85,view,,2024-10-01,13_20241001_00
281,13,323,click,,2023-02-16,13_20230216_00
282,13,359,rating,3.0,2023-03-22,13_20230322_00
283,13,364,rating,4.0,2023-11-07,13_20231107_00
284,13,93,purchase,3.0,2023-07-08,13_20230708_00
285,13,224,view,,2023-04-26,13_20230426_00
286,13,156,view,,2024-03-20,13_20240320_00
287,13,401,rating,4.0,2024-09-03,13_20240903_00
288,13,30,view,,2023-12-15,13_20231215_00
289,13,37,view,,2023-12-19,13_20231219_00
290,13,447,click,,2023-06-02,13_20230602_00
291,13,202,click,,2023-05-24,13_20230524_00
292,14,220,view,,2024-05-26,14_20240526_00
293,14,50,purchase,5.0,2023-04-11,14_20230411_00
294,14,468,purchase,3.0,2023-05-09,14_20230509_00
295,14,482,purchase,5.0,2024-10-26,14_20241026_00
296,14,44,purchase,5.0,2024-07-25,14_20240725_00
297,14,240,click,,2024-12-18,14_20241218_00
298,14,198,view,,2023-06-22,14_20230622_00
299,14,485,purchase,5.0,2023-03-29,14_20230329_00
300,14,321,click,,2024-10-21,14_20241021_00
301,14,178,view,,2023-09-04,14_20230904_00
302,14,175,view,,2024-06-20,14_20240620_00
303,14,170,rating,5.0,2024-09-06,14_20240906_00
304,14,312,view,,2023-12-07,14_20231207_00
305,14,217,click,,2024-06-27,14_20240627_00
306,14,49,click,,2023-04-10,14_20230410_00
307,14,473,click,,2024-09-21,14_20240921_00
308,14,461,click,,2024-01-23,14_20240123_00
309,14,44,view,,2023-02-11,14_20230211_00
310,14,396,view,,2023-08-12,14_20230812_00
311,14,285,click,,2023-06-02,14_20230602_00
312,14,298,click,,2024-02-04,14_20240204_00
313,14,455,click,,2024-12-17,14_20241217_00
314,14,322,view,,2023-04-26,14_20230426_00
315,14,12,click,,2023-05-28,14_20230528_00
316,14,289,view,,2023-09-19,14_20230919_00
317,14,454,view,,2024-07-04,14_20240704_00
318,14,416,view,,2023-09-11,14_20230911_00
319,14,23,view,,2023-04-02,14_20230402_00
320,14,31,view,,2023-01-13,14_20230113_00
321,14,126,view,,2024-06-09,14_20240609_00
322,14,85,purchase,5.0,2024-03-01,14_20240301_00
323,14,48,purchase,4.0,2023-07-01,14_20230701_00
324,14,365,view,,2023-06-15,14_20230615_00
325,14,203,view,,2023-08-01,14_20230801_00
326,14,359,view,,2024-06-08,14_20240608_00
327,14,17,view,,2024-07-08,14_20240708_00
328,14,391,rating,5.0,2024-08-11,14_20240811_00
329,14,318,view,,2024-05-05,14_20240505_00
330,14,139,view,,2024-05-15,14_20240515_00
331,14,224,view,,2024-07-06,14_20240706_00
332,14,499,view,,2023-12-27,14_20231227_00
333,14,209,view,,2024-02-22,14_20240222_00
334,14,353,click,,2024-10-13,14_20241013_00
335,14,67,view,,2023-03-16,14_20230316_00
336,15,102,view,,2024-04-02,15_20240402_00
337,15,461,view,,2024-07-18,15_20240718_00
338,15,346,click,,2023-08-31,15_20230831_00
339,15,102,click,,2023-11-19,15_20231119_00
340,15,81,click,,2024-11-17,15_20241117_00
341,15,7,click,,2024-03-03,15_20240303_00
342,15,162,click,,2024-03-22,15_20240322_00
343,15,360,click,,2023-10-06,15_20231006_00
344,15,104,click,,2024-04-21,15_20240421_00
345,15,178,view,,2023-06-23,15_20230623_00
346,15,57,rating,4.0,2023-03-14,15_20230314_00
347,15,321,view,,2024-03-18,15_20240318_00
348,15,361,view,,2023-01-07,15_20230107_00
349,15,218,view,,2024-05-27,15_20240527_00
350,15,217,click,,2023-02-12,15_20230212_00
351,15,63,click,,2023-08-08,15_20230808_00
352,15,39,click,,2023-09-19,15_20230919_00
353,15,12,view,,2024-12-02,15_20241202_00
354,16,29,click,,2023-07-24,16_20230724_00
355,16,426,view,,2024-10-16,16_20241016_00
356,16,88,view,,2023-09-09,16_20230909_00
357,16,195,click,,2024-10-03,16_20241003_00
358,16,368,purchase,3.0,2023-08-03,16_20230803_00
359,16,316,rating,3.0,2023-09-17,16_20230917_00
360,16,399,click,,2024-10-03,16_20241003_00
361,16,4,view,,2024-04-16,16_20240416_00
362,17,171,click,,2024-01-17,17_20240117_00
363,17,278,rating,2.0,2023-04-10,17_20230410_00
364,17,77,view,,2024-01-31,17_20240131_00
365,17,9,click,,2024-06-02,17_20240602_00
366,18,195,view,,2024-03-28,18_20240328_00
367,18,454,click,,2023-12-08,18_20231208_00
368,18,300,purchase,4.0,2023-12-08,18_20231208_00
369,18,0,view,,2023-06-22,18_20230622_00
370,18,476,purchase,3.0,2024-08-19,18_20240819_00
371,18,309,click,,2024-10-22,18_20241022_00
372,18,319,click,,2024-01-28,18_20240128_00
373,18,467,view,,2023-11-12,18_20231112_00
374,18,5,click,,2023-11-14,18_20231114_00
375,18,457,click,,2024-04-18,18_20240418_00
376,18,392,view,,2024-07-11,18_20240711_00
377,18,488,view,,2023-06-09,18_20230609_00
378,18,427,click,,2024-07-20,18_20240720_00
379,18,454,click,,2024-09-30,18_20240930_00
380,18,281,click,,2023-06-06,18_20230606_00
381,18,135,view,,2023-11-16,18_20231116_00
382,18,163,rating,5.0,2024-09-19,18_20240919_00
383,18,144,view,,2024-07-22,18_20240722_00
384,18,137,view,,2024-06-02,18_20240602_00
385,18,409,purchase,3.0,2024-04-27,18_20240427_00
386,18,135,click,,2023-09-24,18_20230924_00
387,18,192,click,,2023-09-04,18_20230904_00
388,19,403,click,,2024-08-19,19_20240819_00
389,19,402,purchase,4.0,2023-05-05,19_20230505_00
390,19,113,click,,2023-11-22,19_20231122_00
391,19,425,view,,2023-04-04,19_20230404_00
392,19,281,view,,2024-06-03,19_20240603_00
393,19,314,view,,2023-03-26,19_20230326_00
394,19,425,click,,2024-03-25,19_20240325_00
395,19,296,click,,2023-07-02,19_20230702_00
396,19,284,view,,2024-08-21,19_20240821_00
397,19,277,click,,2024-07-01,19_20240701_00
398,19,61,view,,2023-08-09,19_20230809_00
399,19,9,purchase,4.0,2023-04-07,19_20230407_00
400,19,192,click,,2024-01-06,19_20240106_00
401,19,339,view,,2024-04-07,19_20240407_00
402,19,60,view,,2024-07-05,19_20240705_00
403,19,77,view,,2023-08-16,19_20230816_00
404,19,86,view,,2024-12-15,19_20241215_00
405,20,105,view,,2023-08-03,20_20230803_00
406,20,208,view,,2023-05-31,20_20230531_00
407,20,109,purchase,5.0,2024-03-24,20_20240324_00
408,20,252,click,,2023-07-26,20_20230726_00
409,20,242,purchase,3.0,2024-11-20,20_20241120_00
410,20,421,view,,2023-07-06,20_20230706_00
411,20,378,click,,2024-06-22,20_20240622_00
412,20,1,view,,2023-10-29,20_20231029_00
413,20,129,view,,2024-10-11,20_20241011_00
414,20,240,purchase,4.0,2023-09-14,20_20230914_00
415,20,77,purchase,4.0,2024-01-03,20_20240103_00
416,20,268,view,,2024-02-07,20_20240207_00
417,20,481,click,,2023-01-28,20_20230128_00
418,20,282,view,,2023-11-17,20_20231117_00
419,20,76,view,,2023-08-18,20_20230818_00
420,20,391,view,,2024-04-16,20_20240416_00
421,20,470,click,,2024-09-16,20_20240916_00
422,20,17,view,,2023-10-23,20_20231023_00
423,20,194,purchase,3.0,2023-01-24,20_20230124_00
424,20,292,purchase,3.0,2023-10-28,20_20231028_00
425,20,268,view,,2023-06-26,20_20230626_00
426,20,361,view,,2024-05-06,20_20240506_00
427,20,281,click,,2024-04-29,20_20240429_00
428,20,292,click,,2023-03-17,20_20230317_00
429,20,411,click,,2023-04-26,20_20230426_00
430,20,14,view,,2023-05-12,20_20230512_00
431,20,13,view,,2024-03-03,20_20240303_00
432,20,303,click,,2024-06-29,20_20240629_00
433,20,361,view,,2023-10-23,20_20231023_00
434,20,5,purchase,2.0,2023-02-26,20_20230226_00
435,20,450,purchase,5.0,2024-01-30,20_20240130_00
436,20,106,purchase,5.0,2023-12-27,20_20231227_00
437,20,377,purchase,5.0,2023-09-18,20_20230918_00
438,20,302,click,,2023-11-21,20_20231121_00
439,20,23,view,,2024-11-13,20_20241113_00
440,20,25,click,,2024-09-08,20_20240908_00
441,20,167,view,,2024-09-07,20_20240907_00
442,20,477,click,,2023-07-31,20_20230731_00
443,20,315,view,,2023-03-10,20_20230310_00
444,20,258,view,,2023-11-27,20_20231127_00
445,20,396,view,,2023-08-17,20_20230817_00
446,20,330,view,,2024-10-19,20_20241019_00
447,20,460,view,,2023-05-25,20_20230525_00
448,20,443,view,,2023-12-04,20_20231204_00
449,20,222,purchase,5.0,2024-09-13,20_20240913_00
450,20,361,click,,2024-06-16,20_20240616_00
451,20,302,view,,2023-09-18,20_20230918_00
452,21,386,view,,2023-11-15,21_20231115_00
453,21,377,view,,2023-12-01,21_20231201_00
454,21,493,purchase,5.0,2023-06-16,21_20230616_00
455,22,346,view,,2024-02-12,22_20240212_00
456,22,247,view,,2023-11-18,22_20231118_00
457,22,449,purchase,3.0,2024-03-11,22_20240311_00
458,22,481,view,,2024-03-14,22_20240314_00
459,22,358,view,,2023-01-05,22_20230105_00
460,22,149,click,,2023-09-22,22_20230922_00
461,23,371,click,,2023-07-21,23_20230721_00
462,23,376,click,,2023-09-01,23_20230901_00
463,23,41,purchase,4.0,2023-08-31,23_20230831_00
464,23,119,view,,2023-07-20,23_20230720_00
465,23,323,purchase,5.0,2024-11-19,23_20241119_00
466,23,121,view,,2024-11-02,23_20241102_00
467,23,325,view,,2023-08-14,23_20230814_00
468,23,466,view,,2023-07-05,23_20230705_00
469,23,372,view,,2023-04-04,23_20230404_00
470,23,240,view,,2023-06-23,23_20230623_00
471,23,454,purchase,5.0,2024-08-13,23_20240813_00
472,23,313,click,,2024-03-03,23_20240303_00
473,23,164,view,,2024-01-14,23_20240114_00
474,23,26,purchase,4.0,2023-05-05,23_20230505_00
475,23,268,view,,2024-09-12,23_20240912_00
476,23,33,rating,4.0,2024-07-27,23_20240727_00
477,23,432,view,,2024-07-22,23_20240722_00
478,23,483,rating,4.0,2023-10-20,23_20231020_00
479,23,291,view,,2023-05-15,23_20230515_00
480,23,114,view,,2024-07-02,23_20240702_00
481,24,356,view,,2024-09-23,24_20240923_00
482,24,24,view,,2024-07-26,24_20240726_00
483,24,212,click,,2023-08-15,24_20230815_00
484,24,259,view,,2023-09-15,24_20230915_00
485,24,331,click,,2023-08-24,24_20230824_00
486,24,294,click,,2023-12-11,24_20231211_00
487,24,317,view,,2024-01-03,24_20240103_00
488,24,68,view,,2023-09-27,24_20230927_00
489,24,430,click,,2024-12-14,24_20241214_00
490,24,70,purchase,3.0,2023-08-11,24_20230811_00
491,24,183,view,,2024-12-22,24_20241222_00
492,24,381,view,,2023-10-25,24_20231025_00
493,24,439,click,,2023-10-26,24_20231026_00
494,24,374,click,,2024-08-18,24_20240818_00
495,24,385,view,,2024-01-10,24_20240110_00
496,24,138,view,,2023-12-05,24_20231205_00
497,24,477,purchase,3.0,2023-06-20,24_20230620_00
498,25,88,view,,2023-01-09,25_20230109_00
499,25,169,click,,2023-08-05,25_20230805_00
500,25,439,view,,2023-06-19,25_20230619_00
501,25,447,click,,2023-01-02,25_20230102_00
502,25,233,view,,2023-09-28,25_20230928_00
503,25,266,click,,2024-12-22,25_20241222_00
504,25,53,click,,2024-04-30,25_20240430_00
505,26,219,view,,2024-07-28,26_20240728_00
506,26,191,click,,2023-10-06,26_20231006_00
507,26,289,purchase,4.0,2024-01-16,26_20240116_00
508,26,60,click,,2023-08-28,26_20230828_00
509,26,56,click,,2024-04-10,26_20240410_00
510,26,276,view,,2024-12-04,26_20241204_00
511,26,169,click,,2024-12-19,26_20241219_00
512,26,54,click,,2023-06-18,26_20230618_00
513,26,232,click,,2024-09-30,26_20240930_00
514,26,416,click,,2024-10-21,26_20241021_00
515,26,278,view,,2023-07-07,26_20230707_00
516,26,359,rating,5.0,2023-09-04,26_20230904_00
517,26,207,view,,2023-09-24,26_20230924_00
518,26,450,click,,2023-05-31,26_20230531_00
519,26,132,purchase,4.0,2023-12-06,26_20231206_00
520,26,61,click,,2024-03-22,26_20240322_00
521,26,191,click,,2024-06-14,26_20240614_00
522,26,485,rating,5.0,2024-10-07,26_20241007_00
523,26,219,view,,2024-11-05,26_20241105_00
524,26,459,purchase,2.0,2024-04-23,26_20240423_00
525,26,194,click,,2024-07-30,26_20240730_00
526,26,158,view,,2024-12-11,26_20241211_00
527,26,449,click,,2024-12-05,26_20241205_00
528,26,499,view,,2024-07-17,26_20240717_00
529,26,459,purchase,3.0,2023-11-15,26_20231115_00
530,27,124,rating,4.0,2023-05-16,27_20230516_00
531,27,134,click,,2023-04-21,27_20230421_00
532,27,342,view,,2024-12-24,27_20241224_00
533,27,476,view,,2023-11-06,27_20231106_00
534,27,347,view,,2023-06-24,27_20230624_00
535,27,387,click,,2023-05-06,27_20230506_00
536,27,150,view,,2023-10-19,27_20231019_00
537,27,460,rating,3.0,2024-11-17,27_20241117_00
538,27,227,view,,2023-08-06,27_20230806_00
539,27,95,purchase,4.0,2024-12-11,27_20241211_00
540,27,499,rating,4.0,2023-11-26,27_20231126_00
541,27,108,view,,2024-04-22,27_20240422_00
542,27,150,view,,2024-10-14,27_20241014_00
543,27,492,view,,2024-10-02,27_20241002_00
544,27,316,click,,2023-05-26,27_20230526_00
545,27,44,view,,2024-10-04,27_20241004_00
546,27,387,view,,2024-04-14,27_20240414_00
547,27,52,view,,2024-08-07,27_20240807_00
548,27,454,view,,2023-03-12,27_20230312_00
549,27,425,purchase,3.0,2024-07-28,27_20240728_00
550,27,198,rating,5.0,2024-03-09,27_20240309_00
551,27,54,view,,2024-08-01,27_20240801_00
552,27,241,view,,2023-10-20,27_20231020_00
553,27,195,view,,2024-09-15,27_20240915_00
554,27,3,click,,2024-07-17,27_20240717_00
555,27,338,view,,2024-07-19,27_20240719_00
556,27,185,purchase,4.0,2023-11-18,27_20231118_00
557,27,295,click,,2024-06-28,27_20240628_00
