item_id,category,price,quality_score,popularity,brand_tier,seasonality,features
24,Food,6.34,3.48,0.36,Budget,None,"[0.5743903651572851, -0.0005501575001457516, 0.17383217841803444, -0.05781031963539261, -1.0920282333363716, 2.3656757112713724, 1.055501912232549, 2.5272091659284217, -0.4052486452844039, -0.0917939946029801, -1.171534325220229, 0.46993888005285933, 0.3361840591660927, -0.20655692255874594, 0.0299154251312936, -0.29852291580618057, -0.4941339084556419, -0.7763873718934176, -1.0208174673103139, -0.7019037915241338]"
25,Clothing,25.19,5.0,0.03,Budget,Winter,"[-1.3503178098315267, 0.25325862226729384, 2.4288225546266693, 0.17778455640450103, -0.6849664698523465, -0.8088451508609211, 0.4561661270135527, -0.6763657556359388, -0.6535504696058138, -0.13964364124158132, 0.15977013611188073, 1.0387347441445698, -1.1960583674759722, -1.2948656516261972, -0.3820945938345779, -1.8001838537040453, 0.5865593133958481, -1.9935783824291238, 0.7073735171147446, 1.1090074365548068]"
26,Health,45.56,4.46,0.368,Standard,Holiday,"[0.5198290026710267, -0.6845856191413306, 0.12809888435898667, -0.8168615002149581, -2.147132099966032, 0.9983045685783835, -1.5023889816895173, 0.10718646478241609, 2.33300212944904, 0.32656301586305486, -0.2830790735982502, 0.2712114752799734, 0.4709670697851621, 0.7349648157519848, 1.733441339384263, 0.23419415149820536, 0.06404884501770187, -0.9067289653500941, 0.435946323899337, 0.6673831031405686]"
27,Sports,13.79,4.15,0.232,Premium,Holiday,"[0.11784432614130065, -1.0399681516170514, -0.6119130526418207, 0.5951573238847284, 4.448812305740227, -0.34072077153208186, 0.45583767838814, -0.5560525574794034, -0.9739670442491007, -0.6763158635773625, -2.0824719767026716, 1.3534350629077507, -2.2301302529146136, -0.2638282304006328, -1.1781278953500545, -0.8843802153622045, 1.376522659738668, 0.201066990031392, -0.9653961591817005, -0.5895171324965108]"
28,Movies,8.93,3.39,0.081,Premium,Winter,"[-0.2909867411001344, 0.34508618601508256, -0.9319911252835396, 1.211265496493013, 0.7985049046156689, 0.915529791724743, 3.264050170507165, 0.4176751006519598, 1.4809924041174929, 0.3776395717866411, -0.21905858802460865, -0.006603910483364725, -0.023843768136116463, -0.519391322090543, 1.6318888483702207, 0.29629536550366764, 0.09473847583290661, 0.38827425492643364, 2.979854516737147, -1.1317241885996594]"
29,Travel,12.7,3.14,0.202,Budget,Winter,"[-1.1026814775897444, 0.438455878592935, -1.5349662629420144, 1.0861347767459903, 0.8025021246580216, 1.1674277708648262, -0.9038567193757395, -0.39986750245722746, -1.485769405593918, 0.4299409078755325, -0.5769182668360738, 0.46776537431693677, -0.41641930253145876, -0.6691471912654071, 0.33943617604086196, -3.2421558673630466, -0.5424135706101073, 0.33829902570981984, -0.4034274397658899, 1.2992046795392744]"
30,Travel,15.26,3.55,0.187,Premium,Winter,"[0.2770112029940243, 0.10034759175135267, -0.3747861895595717, -1.4312718669891227, 0.22892743332608564, 1.2627046168728475, 1.5441834539565222, 0.3173843681379271, 0.25192526200925935, -0.6193314709278401, 2.727327847551242, 1.4309684579048882, 0.7591359143960578, 0.07199755569012628, -2.2308453713639027, 0.18230544914048175, 0.031768331409075826, -1.4092575076101208, 0.44816187063076707, 1.2366138698083653]"
31,Home & Garden,20.77,4.12,0.13,Standard,Winter,"[0.04126052355885226, -0.9565246721319457, 0.7169654772313899, 2.2728355608440713, -0.12206953248426315, 0.8618538601042209, -1.1787246365307302, 1.1609596147382313, -1.5020314097298904, -0.8252311848115453, -1.040896147722047, -0.5824565446669256, 0.30607963653084835, 0.6784238811362941, -0.08154412039476207, -1.2776120180371577, -2.000490862575225, 0.8463721472327861, 0.7225848110332054, 1.0708737725242643]"
32,Books,5.18,3.83,0.462,Standard,Summer,"[0.13886398920054824, 2.402519443244233, 0.6496059135003164, -0.03836330690595214, 1.252055091558079, -0.5708890002192526, 0.9600376056717446, 1.5920027369828416, -0.8139486218500639, 0.3376567976939641, 0.41655376162904734, -1.0745147516033553, -1.3689814857098772, -0.9159978695561506, -0.052075163942980264, 0.4188669269168215, -0.36962123238004674, 1.9306420024624773, 1.0261759668603714, 0.45267917616006303]"
33,Clothing,7.21,3.67,0.219,Budget,None,"[1.2730459843177364, -1.1755518955942148, 2.463779682463007, 0.6359739396990048, -1.089816103487226, -0.06108544994435771, 0.15639859934091288, -1.0799309749510118, -0.33891663854170234, 1.4011774694886965, 1.6833240931362694, -1.1035829297835538, -2.664735663667659, 1.2373577964272693, 1.8224128551242806, 0.8767656061815922, -0.28700185837141107, -1.083726850689251, 0.6167756798157589, 1.0546789783017962]"
34,Movies,3.82,2.95,0.122,Standard,Summer,"[0.658297225203948, 0.6234171586011584, 1.939463549570124, 0.7899077468538932, -0.30044280882755153, -0.06711638753511132, 1.1673927802611517, 0.8816964269577422, 0.5662707080586883, -0.5144258182617432, -1.0421748070984445, -1.3212337376636916, 0.9865140038042008, 0.12037312895556077, 0.21498453633275158, -0.8229486258623573, -1.4635031033044061, 0.9626135747116324, 0.04203903699723074, 0.9072346600576203]"
35,Books,4.02,2.78,0.187,Standard,Summer,"[0.6901182165598503, 1.5785170403094124, -0.08887916371822298, -0.2613110647580892, -1.7490528632651172, 0.5749651951682917, -0.8204214846909168, -0.3238180125248743, 1.7593395350618295, 0.9444875818473635, 1.6121983174082761, -0.6770127186374348, 0.7300360134867561, 0.4032625026706798, -0.05462333372487333, -0.7505968622627588, 1.084604361456635, -0.514113023143628, 0.1362829760539378, 0.9131134687879375]"
36,Movies,2.78,2.42,0.198,Budget,None,"[-2.159268935319768, -0.9287565596886601, -0.1381804933322729, 1.5828800453236225, 0.375182312451085, -0.5101250493637778, 0.8248380038721161, 0.434971472673564, -0.12910270847372343, 0.5785853082125527, -2.3836212600507434, 1.137453907923797, -1.7128076130966914, -0.48416050526859233, 1.3899850432724044, -2.233605245995567, -0.0868038020675589, -0.2747629760909964, -0.02876037551022778, 0.3562005887321266]"
37,Books,6.0,3.09,0.523,Budget,None,"[0.9122823150627031, 2.060867413527575, 0.8777873749637488, -0.395114402615243, 0.6995280044302882, -0.17894023174963422, 0.1422304842068681, -0.5762409695503379, 1.3600436152250617, -1.2627173696029381, -0.11373009796773767, 1.7808839829389187, 1.275981735228839, -0.8432178217152634, -0.7923629702482806, 0.514074698612494, 0.6499337326903825, 1.1899037204545329, -1.4092597465956416, 1.3157934127196012]"
38,Movies,3.0,2.98,0.227,Budget,Holiday,"[0.15105575691727147, -0.545726040636194, -0.18309078461128447, -1.0301221052967755, -1.1789414021073787, 2.097127212373027, 2.302613525946254, -0.8331331336803468, 0.8166035703577127, -1.1783461248068456, -1.0960120478710536, -0.8030424010642451, 1.6545132808650334, -0.2528800657783739, -2.4417069869024868, 1.2100659331755932, -0.30638136416235745, -1.8494080058784057, -0.3166834879634098, 0.5210038966049031]"
39,Home & Garden,22.14,3.82,0.314,Budget,None,"[0.8855273723059548, 0.11533979039383678, 1.7835000132962895, 2.3112986174303916, -0.7965213077035429, 0.3475157982269089, 2.4320269751801242, 0.03922723036183155, 0.7936207477280433, 0.005182484353656514, 0.27545109836331394, -0.07825521553347335, -1.0180445374050637, 0.3739578630598228, -1.2230144614347815, -0.31244014178677765, 1.9116989388605339, -0.07196565296958614, -0.9232417043709195, 0.24088560019550218]"
40,Electronics,12.74,3.83,0.072,Standard,Holiday,"[1.6904265738327409, -1.291796224330867, -0.30465870457762817, -0.5270810454007706, 0.015079494992797477, 2.536158100872655, 0.43015380949531085, 1.2622413570734066, -0.6840835621600668, 0.02188729131137335, 1.2286758154369681, -1.5804423303659738, -0.23341482292397867, 0.6206546115873934, -0.07258211716608223, -0.5678931744748102, -0.5117222158330763, 0.31539644050950855, -1.5704881309107588, 0.1246275748534001]"
41,Clothing,22.9,4.13,0.134,Standard,None,"[0.16025928664166553, -0.17660171886594317, 3.3768376228188624, 0.195140049758993, -0.37832244799109405, -0.14511856333613612, -0.06695933390142567, -0.038913744909976, 0.9274297691916048, 0.9787061296547942, -0.9907027589334488, 1.0679596745340911, 0.7513474611501303, -0.05272508423498128, -1.473964180376095, 0.2126424823268253, -0.3539424825269719, 0.5548823050956851, 0.6466033975037647, 1.3190756280592197]"
42,Home & Garden,5.11,3.65,0.162,Standard,None,"[-0.6584681223187635, 1.0081338961675632, 1.451634279330816, 1.6476617415210293, -0.3418804116116249, 2.012281004744113, 0.5954997280830951, -0.08507609929734504, 0.5033670843305138, -0.435999836047107, 0.30122481006076546, 0.28499026215142287, 0.8341734635346133, -0.9849303551626952, 0.355427973549249, -1.1665887465311566, 1.8755194448160222, -0.41920406101641394, -1.6548941034258782, 2.7773608568387247]"
43,Electronics,13.16,4.01,0.227,Standard,None,"[-0.003530419412159702, -1.7871385875844514, -1.0085308082526463, -0.2468578925108528, -1.5604334678050311, 1.1121490628065982, 0.8569052705051, -0.5747932272153171, 1.2796141191777477, 1.4492924284038262, -0.11317064829006354, -0.4506681775680075, 2.259602027742478, 0.721161822084155, 0.2563246529688533, 1.3635459466396125, 0.30193063500302136, -0.5056205859191885, 0.08015976048755348, 1.038654287319735]"
44,Travel,4.03,4.86,0.048,Budget,None,"[-0.7927228975130391, 0.36490392801279975, -1.7466964294446428, -1.2858726185056737, -0.5803545409288972, -0.0882309995583992, 1.238441032249234, -0.08966986278592959, 1.1992935148542776, 2.107951648169358, 0.012379668254104165, -0.2919433019409618, 0.9820245608988472, 0.12947772321688975, -0.7325546823255682, 0.3320796059592476, -0.4573247104776984, -0.5125886709940031, 1.1826485284956558, -0.15936628595244004]"
45,Travel,249.86,4.95,0.252,Standard,Holiday,"[0.7910754438725505, 1.8672312871808086, -1.563929264900654, -2.217283710253568, -0.7308348996976709, 0.7104245340914495, -1.0558446374338408, -0.9809709185260753, 0.9510213361781547, 2.4625479227977496, 0.37706090962839983, 0.7814289194655282, -0.4251929532728843, -0.3789840740581913, 0.809779272561425, -1.3448867807811995, -2.1427198463985464, -0.4332841736278544, 0.9308732890656916, 0.25555969898680325]"
46,Travel,69.66,4.48,0.074,Standard,Holiday,"[-0.5365266011739941, -0.0788588565444915, 0.14395129287704847, 0.9833532298260631, -0.22499792831121918, 0.4629199234278211, 0.37057687156225677, -0.6235655246580118, 0.706689907122386, -0.07217437292635864, 1.0617385112074798, -1.1941166900196596, -0.13902812071358622, 0.828972440773889, -0.4270231939559154, 0.234172051389464, 0.8451607989061887, 1.848219810800579, -0.01504648858528787, 0.17979195529408185]"
47,Books,6.16,2.85,0.118,Standard,None,"[0.4447302658475288, 0.7954922887237668, 0.2101539986006649, -0.2672132693699203, -1.3125350107252374, -1.6930865775325799, -0.4346760545813742, -0.3598022147317826, -0.8881512949211118, 0.7616393736388155, -0.4056916336563577, -0.9866739735899551, -0.23603539546166377, -0.6312703844998239, 1.6469743826292353, -0.31525036312285104, -0.9177380816455876, 1.645106955518394, 0.7250373259923628, 0.10630716221332434]"
48,Books,2.67,4.07,0.087,Standard,None,"[1.6546347484020885, 1.9680089034636017, -1.076939252665135, -1.4306993716118372, 0.10518365956392356, -1.1235103453834479, -0.29554480125901383, -1.9045245195686462, 0.35441226171086265, -1.542445083515727, -0.06008556737978037, -1.3837935308890936, 1.2258790482242037, -2.1099078362694663, -0.28294497536435914, 0.5594082342054149, 0.3588856151710838, -1.246830520143283, -1.7397453324806809, 0.7813915011823453]"
49,Books,5.22,2.69,0.246,Standard,None,"[-1.523211169137652, 0.6586418154757836, -2.091941672576983, 0.2950731721805789, 0.978036805085944, 0.016102245981951847, -0.4043146435264169, -1.3900088641562547, -2.2048790672361878, -0.03297345365213742, 0.6156684441455533, -0.8324084739076688, 1.0554097148923018, -0.6888880985004263, 1.0849982828536782, -0.7807959537464901, -2.662932042712889, 0.6263557060866203, -0.9228465798955018, -1.5424639907495143]"
50,Health,21.53,4.64,0.095,Standard,None,"[-2.232289356078517, 0.38213127589080353, -0.9906975095362324, -0.5445729318237916, 0.4930864020479377, -0.5791861411469302, 0.8228420732163579, 0.21566278748606432, 2.435683111924503, 1.2409655987385322, 0.31982306261406573, 1.538847290469344, 0.9112622830378235, -0.5234524298344567, 1.2931480750212714, 0.26386602090294525, -0.3946797086605034, 0.27838569532088264, 1.1123268243902629, 0.45504509424222184]"
51,Health,82.28,4.96,0.188,Budget,None,"[-0.22654826624496904, -0.6494110233293583, 1.0308318315781748, 0.10173335480746218, -1.6740350047575745, -0.3554976481263554, 1.7023432306833235, 0.8234529529662017, 1.5649059055944807, 1.3036571644017645, 0.28188005830670254, 1.6428157967900199, -0.07921955383571452, -0.2918493717963902, 0.9881688897330232, 0.25199951016018773, 0.557519072253115, -0.8625909623402042, 1.171204269464791, 0.9822874835973225]"
52,Electronics,85.64,4.49,0.173,Standard,Winter,"[1.9153291025003358, -0.8783327991137353, 1.927688056490815, -0.9026286254062197, 0.30638280074245927, 0.34535686073450617, 0.010004445747878203, 0.7813434393694474, -0.9305707077566631, 1.9330652257107903, -0.8245185534670733, -0.14393338401606803, -1.4381769033956318, 1.0461131058475746, 1.88811087881252, 2.008141936137437, 1.1347210354858641, -0.371142076954873, 0.0017194350566970612, -0.32290444596664075]"
53,Electronics,6.59,2.56,0.106,Standard,Summer,"[1.2948431269468377, 0.6770530045844702, -1.5989173606119742, 1.2701116739861267, -0.7006458301779478, -0.33483123717575786, -0.3220191498630588, 0.7589588945925353, -1.4504734094552116, -0.17740518436735128, -0.6413143752371963, 2.198047850252778, -1.0849783552267207, -2.582064088096225, 1.6945953870339583, 0.4913391051136467, -0.7873748855824034, -0.032210368034463775, -0.8009939573650712, -1.9569977354033754]"
54,Electronics,18.81,4.52,0.15,Standard,None,"[1.6481178258595484, -0.6050636907219706, -0.5615986763768689, -1.1992824219641323, 0.7495825713736299, 0.0021184210174724715, -0.21469454738683721, -1.2561552745073867, -0.04454486424478854, -2.6266847559986117, -0.16295631080584103, 0.06318366880775604, 0.24191498432149858, -1.56410176347928, 0.22481673669147476, -1.0414312698645425, -0.8124698322923339, 0.7179313858226648, 2.014113723359744, 0.05135875880268002]"
55,Movies,3.26,3.11,0.534,Budget,None,"[2.1248772454801834, -0.1605852789587953, -0.9409317501432217, -0.34917530188945395, -1.4147640150617324, 0.024618194075417005, 2.163091982468799, 1.0849380426391653, 1.1804985618607264, -0.3172356502126091, 2.1075931367856735, -1.0738631778357464, -1.4000619711077744, -1.2421519690415188, -1.1712810206115074, 0.7580767319598234, 1.6821607462836679, 1.7232405165058848, -1.884598317325816, 0.8568218514437068]"
56,Health,61.24,4.77,0.179,Budget,None,"[-0.89961865754579, -1.8521032545245222, -1.2815334474735183, 0.41864231743030594, 0.5431751897660483, -1.5844211281771077, 0.6264397504539391, 0.18050463388908677, 2.5156628049375556, 0.07245312981093784, 0.42547139158009356, 0.460028085116589, 0.4719104151741429, 0.2440657104931369, -0.08556184173385854, -0.07964197820578524, 0.23016620357939316, 0.8254141182487367, 1.9647410016492728, 0.528468304969544]"
57,Health,19.4,5.0,0.192,Premium,Summer,"[0.11933637902614841, 1.1993402222903706, 0.5147192490554946, -0.8610613357751137, -1.247177960238712, 0.15634869990048142, 0.25549834380504577, -1.2447498144280529, 2.7857440479595645, 0.6652505633025415, 0.34156281397528726, 0.7578079229094944, -0.9897135779194186, -0.9314352901101262, -0.2597291173910833, -0.6344425894318096, 0.5021602520263256, 0.8055164175122062, -0.703487215663686, -0.8678040112779463]"
58,Health,31.27,4.78,0.295,Budget,Winter,"[-1.8411117324200659, 1.0471766550029968, -0.05608572627867428, 1.1629808803918416, -0.619871070624552, 0.7071061601065628, -0.7174986020844216, -0.9655750062098389, 1.8928727828293237, -0.6649665113199965, -1.5428221490372125, -0.18231470071699332, 0.10643541643128884, 1.2683586114960674, 0.9368056771330601, 1.2199431992328313, 0.7203574983935084, 0.3326127589499748, -1.2289449064718925, 0.14987219793527454]"
59,Movies,13.42,3.37,0.356,Budget,Winter,"[0.4293507136612708, 1.9947339527082228, -0.6741189790132863, -1.6072712038057224, -1.1791732187363086, 1.5912231997682411, 1.5522103816365003, 1.3638251736003766, 0.00625654097073757, -0.9746863187175773, 2.0013179568661594, 1.3177766977259247, -0.17951678623153824, 0.9967977661275882, 0.12306236652628441, 0.4375876145863273, 1.76232165216181, -1.519634186517625, -0.3586388907881295, 0.029211015710739783]"
60,Sports,25.81,3.65,0.075,Standard,Winter,"[1.8955024193925007, 0.11859442305687404, -0.1754584350417629, 1.8907298485940296, 2.7070588584012034, -0.9032036088954514, -1.7189099560288814, 0.1772972131473084, -0.0010711335374141854, -1.5198680373755091, -0.055393525482335705, -0.5739346330742002, 0.009290068306694576, 0.7259236116484019, 1.4926099474640355, 0.9088890363692873, -0.7214407498302056, 0.3689151288291944, 0.06310712149202398, -1.332128954630901]"
