user_id,age,gender,income_level,location,activity_level,price_sensitivity,primary_segment,category_preferences
10,25,F,Medium,Urban,Low,0.43210544913139703,Health Conscious,"[0.02833375265892238, 0.0026710280481201548, 0.0997215660982983, 0.02884951715529466, 0.06683838016669759, 0.19962280399235244, 0.18689551013099817, 0.053924698340187566, 0.22903934422231673, 0.10410339918681209]"
11,45,M,Medium,Rural,Medium,0.17952415465848534,Tech Enthusiast,"[0.035824147786884454, 0.10569722714425092, 0.027177759457718022, 0.002029935504439527, 0.08551099360613636, 0.016074701087839406, 0.23263344678937703, 0.25378335710817307, 0.2031470771132682, 0.03812135440191303]"
12,18,O,Medium,Rural,High,0.14905427036129798,Fashion Forward,"[0.012310884336031589, 0.053940860582605527, 0.36475455578072413, 0.0789372465226511, 0.055954376291108936, 0.006776485516370352, 0.0632737711938074, 0.3056246703806601, 0.010004198411214514, 0.04842295098482632]"
13,55,F,Medium,Suburban,Medium,0.4734964253213655,Travel Explorer,"[0.0008571150323964983, 0.1629987626250063, 0.03561642896534278, 0.012132510748869778, 0.08334454957795462, 0.008590786736456957, 0.3589458928275137, 0.004617570314845845, 0.14259030666884936, 0.1903060765027641]"
14,45,M,Low,Rural,High,0.163627504374825,Fitness Guru,"[0.09844194451187774, 0.19586312623544122, 0.03240085661703264, 0.12996960565825275, 0.023778689510281437, 0.007072098897253205, 0.10100814652772082, 0.10367378951395474, 0.1352095769467179, 0.1725821655814675]"
15,65,F,Medium,Suburban,Medium,0.15937752033309405,Movie Buff,"[0.06041974026015384, 0.12602854250437096, 0.006478392434165148, 0.266634593924269, 0.06310611014823729, 0.02962357136092782, 0.02130294617950493, 0.021821593975369175, 0.2947095829568254, 0.10987492625617624]"
16,35,F,Medium,Suburban,Low,0.0972735662800504,Fitness Guru,"[0.01011938921683159, 0.03818095311496495, 0.39784508609642866, 0.01972648850531113, 0.0035426947079438406, 0.1474822128099287, 0.16829422592358934, 0.04350206842123683, 0.06394419144874233, 0.1073626897550228]"
17,18,O,High,Urban,Low,0.20437093157274808,Foodie,"[0.17941076112902812, 0.17981167196967912, 0.12574786329322316, 0.06301465300210779, 0.10054056946251945, 0.07042120697092182, 0.05305651381517068, 0.017133401952474113, 0.10383505155629882, 0.10702830684857696]"
18,45,F,Medium,Urban,Medium,0.3032651524194562,Movie Buff,"[0.008301288402896683, 0.043182338813911626, 0.2094752234344761, 0.002646871385942309, 0.18935469458053558, 0.037216428265242824, 0.028270637363070516, 0.1341202056730893, 0.11144119241031036, 0.2359911196705248]"
19,45,F,Low,Urban,Medium,0.09441120285046876,Fitness Guru,"[0.04271251646093536, 0.17846208576706318, 0.21101812847318924, 0.04263830361627483, 0.1486611134947667, 0.11975395407481984, 0.10753533529245674, 0.07735326901994122, 0.05535897518118419, 0.016506318619368906]"
20,18,O,High,Urban,High,0.11873434869109918,Fitness Guru,"[0.03619600748521462, 0.04156388350140751, 0.11643747652820788, 0.14559205106304132, 0.3271394069801651, 0.16259295686825348, 0.00997535563902636, 0.07114078329973995, 0.0061833436355604775, 0.08317873499938329]"
21,35,F,Medium,Urban,Low,0.23885931143848452,Foodie,"[0.005584679692504533, 0.12753288044473693, 0.09055705315219648, 0.00627237090992568, 0.006553660926044801, 0.3190165625600109, 0.03465841505229204, 0.06846192373202359, 0.12386547055857187, 0.21749698297169323]"
22,65,F,Medium,Urban,Medium,0.5336051254769117,Travel Explorer,"[0.13419099525895908, 0.14479326382807495, 0.17189998667489123, 0.13544055872654007, 0.11351452849278301, 0.0269371413902579, 0.050782294153787766, 0.06452542497961306, 0.008595814811234634, 0.1493199916838584]"
23,35,F,High,Suburban,Medium,0.19777640881828099,Health Conscious,"[0.015905954737866282, 0.02270504542849759, 0.35668934982152, 0.07769958988366746, 0.031556662314131435, 0.08695559271365091, 0.16064198931705362, 0.20743000756521277, 0.007759125137167069, 0.03265668308123289]"
24,25,M,Low,Suburban,Medium,0.16778889546229617,Music Fan,"[0.004883503757986456, 0.04878735429755035, 0.07874347563257078, 0.1372554192248559, 0.04698077805998506, 0.042496565449716736, 0.011782989028012369, 0.4195717457347253, 0.08012143351695017, 0.12937673529764687]"
25,55,M,High,Suburban,Low,0.09530277378757603,Fitness Guru,"[0.22795651440755868, 0.08218780117646458, 0.29092050012922743, 0.13859656787801777, 0.021606300990382778, 0.006176634445677256, 0.02365813400050158, 0.0022664266981948507, 0.012899197756046954, 0.1937319225179283]"
26,35,F,High,Suburban,Medium,0.6612177483044015,Tech Enthusiast,"[0.46248851744098246, 0.06995739471073514, 0.01948945115926929, 0.08361947182566465, 0.0722713758831975, 0.033289281303760326, 0.009049335927247189, 0.08359032397889693, 0.055150032844037536, 0.11109481492620896]"
27,35,F,Medium,Suburban,High,0.13543795820633803,Fashion Forward,"[0.13972910605150193, 0.05748176934832666, 0.47108164640202327, 0.05606380133739046, 0.060591885786099496, 0.048435697213393594, 0.0057105650462022225, 0.07757195940290729, 0.047453066556496136, 0.035880502855659004]"
28,55,M,Medium,Suburban,Medium,0.4187649541905906,Fitness Guru,"[0.5426876543169783, 0.0940831593683583, 0.05527418860079664, 0.13914866713404528, 0.076162845933065, 0.010940036566001222, 0.019132367246828718, 0.018999692947006756, 0.022846471639645854, 0.020724916247273732]"
29,45,M,Medium,Rural,Medium,0.4030877725196583,Fitness Guru,"[0.062058070068873275, 0.06262706813832988, 0.004739099801702179, 0.11666243258959456, 0.22418196717588507, 0.06452093309072564, 0.3293715541854691, 0.02020838257203182, 0.058741420134589405, 0.056889072242798995]"
30,18,F,Medium,Suburban,Low,0.18159068133897022,Foodie,"[0.06705118308210536, 0.09744086315808971, 0.046576498481039875, 0.06282455907139162, 0.1392530430493198, 0.0037815636525045035, 0.029438277849422958, 0.25285843183001117, 0.22824864071020354, 0.07252693911591161]"
31,35,M,Medium,Suburban,Medium,0.1663287780151378,Movie Buff,"[0.012318649635921611, 0.10104705470889369, 0.035010073793014435, 0.05536731941481053, 0.08469330390406349, 0.05783360667004324, 0.2759307492861937, 0.08610744328858624, 0.1156957292728933, 0.17599607002557976]"
32,35,F,Medium,Urban,Medium,0.4187893767282705,Music Fan,"[0.18213247980786026, 0.05298531379123769, 0.02100338884044417, 0.03245871797158257, 0.055237884861592174, 0.06854766163308698, 0.040403437907113114, 0.06566669297015254, 0.03725530475286626, 0.4443091174640643]"
33,18,F,Medium,Rural,Low,0.4204359098626687,Fashion Forward,"[0.12777833835322616, 0.09418221272958699, 0.11380842761354626, 0.04810993148535193, 0.13551859045368334, 0.01705429743082536, 0.25575301211148754, 0.09222742234244778, 0.016535385897533207, 0.09903238158231144]"
34,35,F,Medium,Urban,Medium,0.293625328896452,Foodie,"[0.0113681570131815, 0.005156234075135749, 0.36236524343546694, 0.030645734840829577, 0.13073800761314058, 0.02314506403315771, 0.09010626380555956, 0.2249332421928673, 0.07130798096169737, 0.05023407202896368]"
35,35,M,High,Suburban,High,0.05624567455395116,Fashion Forward,"[0.20907974155705297, 0.10244032360747476, 0.007897571867934718, 0.12185604743723259, 0.14099378043252114, 0.11122241568611065, 0.12875310649129482, 0.13969678195318044, 0.01652689609934942, 0.02153333486784847]"
36,45,O,Medium,Suburban,Medium,0.23030059218408025,Tech Enthusiast,"[0.20296600864773165, 0.051494393392250995, 0.01947746063487951, 0.16941187997360485, 0.035700356072199346, 0.05780988082371408, 0.17465680967033342, 0.07214782888429251, 0.00916329792775473, 0.20717208397323889]"
37,45,M,Low,Suburban,Medium,0.2906911423702174,Tech Enthusiast,"[0.271639622283232, 0.16681636921790108, 0.017091133635537065, 0.02532029920750593, 0.13852749401293613, 0.07537010905459018, 0.15545877736665342, 0.01201680529779241, 0.0850767160521382, 0.05268267387171363]"
38,35,F,Medium,Suburban,Medium,0.19727363445962776,Fitness Guru,"[0.16374934113923592, 0.298490810505543, 0.03916489051513147, 0.024089371110055144, 0.10291141204862503, 0.03171488663297784, 0.08913444028676501, 0.22683207254725204, 0.013990151094557928, 0.009922624119856591]"
39,25,F,Medium,Urban,High,0.6252405298975648,Fashion Forward,"[0.0644315481458428, 0.13160254550607514, 0.25104822406413724, 0.028960067727318625, 0.005806791369898418, 0.20241239458981924, 0.0882149979008938, 0.006433342851426233, 0.12254925793982298, 0.09854082990476569]"
40,35,F,Medium,Urban,Medium,0.37030274528676177,Book Lover,"[0.06839849538378467, 0.14306926785244506, 0.2735290283997128, 0.09651691960896254, 0.0036445375286759418, 0.2661495049536901, 0.03113517605708127, 0.09405130400514171, 0.01974467087416992, 0.003761095336336137]"
41,25,F,Low,Urban,Medium,0.02285662107685539,Music Fan,"[0.006727279926197095, 0.4349512885523404, 0.05259962120625469, 0.06822932773451376, 0.005235633264143996, 0.20904757960833972, 0.01776600348621493, 0.17217695681217643, 0.017312507573311493, 0.015953801836507433]"
42,18,F,Medium,Urban,Medium,0.7034823017849882,Music Fan,"[0.11526369825068687, 0.008640980353042636, 0.03236114929815301, 0.006241951880976581, 0.11126257054413918, 0.05054711932410858, 0.18105982970961046, 0.059454648619565204, 0.12826402141854454, 0.306904030601173]"
43,55,F,Medium,Suburban,Medium,0.21631811423142838,Fitness Guru,"[0.022381261924054773, 0.12036259936090406, 0.030958218329415654, 0.011919063578142017, 0.06341192798451592, 0.145784281510059, 0.22029166513798848, 0.20179000049456236, 0.057597313185163604, 0.12550366849519404]"
44,25,M,High,Urban,Low,0.49436230562492933,Fitness Guru,"[0.07038583151375194, 0.05053810030573795, 0.08035912461737432, 0.15015684988875996, 0.1050258236132506, 0.16466984343617938, 0.0886209073880351, 0.13513803349195427, 0.09641035666312645, 0.0586951290818299]"
45,55,F,Low,Rural,Medium,0.5637249831947095,Health Conscious,"[0.07974164379518427, 0.10259932236925573, 0.030488003784156958, 0.015340813596977414, 0.18414026677879353, 0.4253047270270156, 0.0762463669508394, 0.01925389334176049, 0.06498754068352063, 0.0018974216724960103]"
46,55,M,Medium,Urban,Medium,0.5226529018729388,Fitness Guru,"[0.03197322801885193, 0.032373275576156386, 0.1376150339813031, 0.03015164984320118, 0.2094658948230038, 0.0712132553300327, 0.08896026385574614, 0.19019374279432252, 0.05412388624273798, 0.15392976953464424]"
47,35,M,High,Urban,Low,0.2677296774983335,Foodie,"[0.09841096616863021, 0.0761196476289604, 0.12832634054142994, 0.32526234910748114, 0.15532309801943447, 0.028499020494785667, 0.0037308106703994566, 0.07164201908899795, 0.10646822353873582, 0.006217524741144862]"
48,35,F,Medium,Suburban,Low,0.24759294493668674,Travel Explorer,"[0.0477384428132862, 0.006124075218118367, 0.006277964871235192, 0.00018162821901473447, 0.26619753690166925, 0.0004084985495580794, 0.008437556331939567, 0.02929367490851343, 0.1277450152027926, 0.5075956069838725]"
49,45,F,Medium,Urban,High,0.3911427783577928,Music Fan,"[0.19847671196310934, 0.1176774921164009, 0.05238972667484249, 0.059497303192158985, 0.0026677085616608775, 0.11163565339372757, 0.0022747084552281836, 0.04468660565754239, 0.36982853174774644, 0.0408655582375827]"
50,35,M,Low,Suburban,Low,0.2481149900367239,Home Decorator,"[0.26325826247065737, 0.05435657860162985, 0.2497052383605746, 0.010666455061682482, 0.12827657685752447, 0.03696596482480632, 0.01817037620317481, 0.011324909679490952, 0.1685368378123656, 0.05873880012809341]"
51,45,M,Medium,Suburban,Medium,0.1546215541791119,Book Lover,"[0.00127134360443999, 0.21007533943480847, 0.0011064237411049773, 0.10689429950746765, 0.03874044905635156, 0.14399665857725197, 0.08251642561597589, 0.3181622348650088, 0.022226325604669202, 0.07501049999292145]"
52,35,F,Medium,Rural,High,0.5208147741044244,Tech Enthusiast,"[0.03282665921099148, 0.06139846940055066, 0.04747468165760693, 0.04927008815959484, 0.03730309940274503, 0.006029484281608222, 0.0025286812632063916, 0.616898807207745, 0.07826518624691454, 0.0680048431690369]"
53,45,M,High,Suburban,Low,0.022756132606153927,Home Decorator,"[0.007858114522778153, 0.06004757577448072, 0.2127351148372815, 0.0613042432685936, 0.20766662782350906, 0.014994667298877535, 0.005623133358846218, 0.05667865672508823, 0.004376544862984016, 0.36871532152756087]"
54,55,F,Medium,Urban,Medium,0.33589518886728054,Book Lover,"[0.14081893235115328, 0.03952426751210513, 0.20007919263637336, 0.03005725578300088, 0.02996230631531324, 0.0910540747525514, 0.10628801979055812, 0.10261159097008354, 0.011346197333624674, 0.24825816255523644]"
55,25,M,High,Rural,High,0.23404467858897554,Foodie,"[0.019399171765508236, 0.00033940156839451204, 0.07925578538001761, 0.0033315786506940433, 0.05066447029654568, 0.21805110205496903, 0.0077229665878351525, 0.29960744320492116, 0.31739876082649493, 0.004229319664619761]"
56,55,F,High,Suburban,Medium,0.5102049993324879,Foodie,"[0.031891956951266814, 0.019400702639530622, 0.01981290739778264, 0.04606496625538507, 0.030905888578243574, 0.3015118552548218, 0.012677185169360726, 0.27212359214348925, 0.023771482894351364, 0.24183946271576817]"
57,65,F,High,Urban,High,0.22759320315634055,Book Lover,"[0.0273502570140225, 0.15513601752096123, 0.32118906245296885, 0.08077218890483913, 0.024319769626940782, 0.08125494529436784, 0.06277173028866259, 0.12234473478781184, 0.009146762950361263, 0.115714531159064]"
58,35,O,Medium,Suburban,High,0.2983537827275204,Tech Enthusiast,"[0.20681560380864594, 0.08649998490774803, 0.045015343238037894, 0.004185911388830023, 0.005446314715936298, 0.13423332596543672, 0.3241300941564747, 0.07907820993569653, 0.04142832834264556, 0.07316688354054826]"
59,35,M,Low,Suburban,Medium,0.33714992554999806,Fashion Forward,"[0.05457163470868962, 0.01624134082815178, 0.287931146412445, 0.10754420682592715, 0.022674341363950263, 0.00781476821924009, 0.10371409601391578, 0.09660581613252434, 0.029013315521385204, 0.2738893339737707]"
60,25,M,High,Suburban,Medium,0.07179183282559777,Fashion Forward,"[0.0023781662693985782, 0.07929433135499368, 0.06912890624083909, 0.15020853937917944, 0.048192820247207696, 0.2592589202786065, 0.015429761385976013, 0.15261064568375707, 0.11269202626194179, 0.11080588289810031]"
61,55,F,Medium,Urban,Low,0.1515043590316552,Movie Buff,"[0.019534169944909734, 0.16898450165421092, 0.08217963475746458, 0.032687440810007226, 0.09880385062406336, 0.009692767855150199, 0.254782885248544, 0.04576435264288447, 0.2332974233478838, 0.05427297311488174]"
62,35,M,Low,Urban,Medium,0.24765284794605094,Music Fan,"[0.2854563758942333, 0.15426977779842144, 0.16559199720907164, 0.01888670000431733, 0.012987801151149359, 0.2026157557387835, 0.0022197629044731996, 0.07884402869875723, 0.028278044679278757, 0.050849755921514195]"
63,45,O,Low,Suburban,High,0.14201851439907676,Music Fan,"[0.09043285419081738, 0.12616198032989423, 0.17394418251935279, 0.02409313962357946, 0.019774650367176703, 0.023830586140899487, 0.10915195424509333, 0.13223958669341504, 0.0034625108541241844, 0.29690855503564745]"
64,18,F,Medium,Rural,Medium,0.3219168369114595,Home Decorator,"[0.09366115609475621, 0.1058515638301313, 0.17816814175874254, 0.15253465368580627, 0.004839838321002126, 0.02083600824993499, 0.06715576043964841, 0.15009442146387547, 0.10464494379459806, 0.12221351236150482]"
65,35,F,Medium,Suburban,Medium,0.2309120187464849,Music Fan,"[0.09164682506071774, 0.018714401326208944, 0.40469693764525727, 0.2655806142353556, 0.07581824160022077, 0.03211982154859334, 0.08226861459074242, 0.005407188250001975, 0.002246372010969994, 0.02150098373193202]"
66,35,F,Medium,Suburban,Medium,0.43377359957786477,Home Decorator,"[0.16620690693877102, 0.1857250123582972, 0.04404229899967252, 0.052125218908543984, 0.07215870724782156, 0.1957708505695712, 0.019022659388147435, 0.07843692779350322, 0.0802909821071558, 0.10622043568851597]"
67,25,F,High,Urban,Medium,0.34283694544006516,Foodie,"[0.11157048307736196, 0.13996725014856762, 0.012895899022865406, 0.13601998357570103, 0.04820138788891251, 0.0655989397833293, 0.2514313041743066, 0.0023371283873465125, 0.11435624353817402, 0.11762138040343499]"
68,35,M,Low,Rural,Medium,0.38904394180590224,Fitness Guru,"[0.035808850177077745, 0.12022285551524982, 0.15362179299785636, 0.022886564164969495, 0.045946762947542436, 0.004678281922719874, 0.166958582807213, 0.13649679965378853, 0.08059788517835553, 0.2327816246352271]"
69,55,F,High,Urban,Low,0.25572263337086576,Tech Enthusiast,"[0.020762991656861428, 0.04797548205141142, 0.21652053070227667, 0.030293455868736458, 0.05641556729739787, 0.0033848051219506283, 0.012799848462852885, 0.3439471387215609, 0.267505417385849, 0.0003947627311028053]"
70,65,F,High,Suburban,Medium,0.5816434885743039,Home Decorator,"[0.08255727038373768, 0.015260834274470773, 0.075749353351932, 0.4742978655895051, 0.006674334456932011, 0.0755774749720618, 0.03970076955892984, 0.13713525215203448, 0.01319761344856935, 0.07984923181182711]"
71,55,O,Medium,Suburban,Medium,0.2094084925301434,Home Decorator,"[0.0665528081967419, 0.01432557314750919, 0.06342385524076241, 0.05904632302738847, 0.062115566773463145, 0.006646630846081248, 0.06324431233296997, 0.4388345164746714, 0.002913858758308059, 0.22289655520210427]"
72,35,F,Medium,Suburban,Medium,0.16232621009820963,Music Fan,"[0.20338586382532925, 0.18463201070813418, 0.03350027061074202, 0.17839436752014168, 0.04136135398845931, 0.06184932366606825, 0.09194377538866813, 0.03495051642386692, 0.08734605323012821, 0.08263646463846194]"
73,35,M,Medium,Suburban,Medium,0.22133029320082606,Travel Explorer,"[0.10386708862866051, 0.05060960989995541, 0.05700052578125971, 0.2206391569126668, 0.1369747228772586, 0.17910454967542053, 0.12256133467523238, 0.008409133913558867, 0.011764524811524539, 0.1090693528244627]"
74,25,F,Medium,Suburban,Medium,0.16293115640040656,Fitness Guru,"[0.1822229680086482, 0.022270577689113464, 0.20893584414732477, 0.004961259285675152, 0.4349455597117442, 0.034582209056556935, 0.008535395657769465, 0.0530991703715801, 0.023685625793403532, 0.026761390278184242]"
75,25,F,Medium,Urban,Medium,0.0893599737131797,Movie Buff,"[0.10924914515278919, 0.019137064413431194, 0.07119141770317305, 0.11801035543207936, 0.010804237796247056, 0.08007661011290745, 0.05667730186220769, 0.31494474735318717, 0.06316060168423591, 0.15674851848974194]"
76,35,M,Medium,Rural,Medium,0.26683485865160594,Travel Explorer,"[0.01686821062864779, 0.03929486512663309, 0.20752339889017823, 0.12903224880447836, 0.07142233323113831, 0.025925002309511256, 0.03157875533446551, 0.1156126824264112, 0.16727766433585262, 0.1954648389126837]"
77,55,F,Low,Suburban,Low,0.3794857639954433,Music Fan,"[0.002351561610152071, 0.10096743061853222, 0.0918297502151955, 0.07777397331056062, 0.025940863247132833, 0.09747020042930095, 0.08872261421723329, 0.06750231352542725, 0.43302160665103917, 0.01441968617542613]"
78,45,M,Medium,Suburban,Medium,0.36683433051323155,Home Decorator,"[0.013754440475158562, 0.3449894234731907, 0.03271989544476313, 0.11999745363272098, 0.039478443540191484, 0.06735067511848396, 0.011051268363247968, 0.11243240619287215, 0.010752603407563845, 0.2474733903518072]"
79,25,F,High,Suburban,Medium,0.1857088297254499,Book Lover,"[0.02364419928688377, 0.5662624854196214, 0.031002754641530766, 0.021280364953670517, 0.045549338908114766, 0.004874484091961579, 0.1710218966538086, 0.05284431976145699, 0.0737192007918627, 0.009800955491088973]"
80,35,M,High,Urban,Medium,0.22834375208624197,Fashion Forward,"[0.010168153968387805, 0.3007216086502946, 0.3218715726790797, 0.04774226848880955, 0.1134700643565894, 0.04525389102855002, 0.06007876558728626, 0.005739937802172258, 0.08655204082138598, 0.00840169661744434]"
81,55,F,Medium,Urban,Medium,0.2649688949453816,Health Conscious,"[0.05726110515103658, 0.1401512679367365, 0.02635699850810329, 0.22927403435035418, 0.16598807483187958, 0.01417541677820455, 0.12396106570969008, 0.06866118732656208, 0.13432456861627504, 0.039846280791158185]"
82,35,M,Medium,Suburban,Medium,0.4959149447280416,Health Conscious,"[0.038649765606252405, 0.0022988104573744583, 0.01657499735228807, 0.025122789800103983, 0.313068822052542, 0.0844753115575828, 0.2679024152034542, 0.08496983901837099, 0.12956853096986207, 0.037368717982168925]"
83,45,M,High,Suburban,Medium,0.13218538737055305,Home Decorator,"[0.007853969790340412, 0.14129164272773495, 0.012264629794527575, 0.17002332423975153, 0.25970527829992046, 0.19679427514820938, 0.030663086995106913, 0.1796907154956084, 3.1339118025883784e-05, 0.0016817383907747855]"
84,45,M,Medium,Suburban,Low,0.42223850847877514,Health Conscious,"[0.07748017022389708, 0.025766222289641285, 0.010679506905336561, 0.210179499218133, 0.04246554683913553, 0.026950352419561667, 0.16198188015653828, 0.1325234168817864, 0.27618336277485184, 0.035790042291118235]"
85,25,M,Low,Suburban,High,0.32874639917567533,Fashion Forward,"[0.051960513395213015, 0.06059312235172005, 0.39837554446068973, 0.14991521207534367, 0.1662176278868239, 0.0012571292038999558, 0.0609853708134739, 0.07440336829416407, 0.002196220257872445, 0.03409589126079924]"
86,45,M,Medium,Urban,Low,0.12952811832274264,Home Decorator,"[0.02806887986104199, 0.014668504660939179, 0.012347463331145298, 0.3630252290225835, 0.025323558270423294, 0.09572417364214894, 0.15105248155429543, 0.08641305481267048, 0.17815858304603796, 0.045218071798713975]"
87,65,M,Low,Suburban,High,0.32969446344841785,Movie Buff,"[0.11198716770278892, 0.23448706675516662, 0.10528315442912858, 0.09897131737485362, 0.007172885838167077, 0.07598056549871166, 0.0338417912517877, 0.13905979431100618, 0.07465331878388766, 0.11856293805450192]"
88,18,M,Medium,Urban,Low,0.09328452365912893,Fashion Forward,"[0.13283979421800649, 0.025124961925690668, 0.04693416458650298, 0.01270673757048407, 0.1324535350274983, 0.17732890190985248, 0.03777788184925918, 0.002596738294501244, 0.010518858747978402, 0.4217184258702261]"
89,25,F,Medium,Urban,Medium,0.41168174628877086,Travel Explorer,"[0.06475734234163694, 0.22511424097347169, 0.03871303754911247, 0.013318067150513535, 0.06401243542375179, 0.012043082419113884, 0.06624895368241289, 0.2517772849883684, 0.07321749117721257, 0.19079806429440585]"
90,25,M,Low,Suburban,Low,0.6829218825089464,Home Decorator,"[0.019102901499850132, 0.008987177207484117, 0.015262040358050375, 0.3024430446659401, 0.07200818357661239, 0.023362174750087856, 0.1174229394042482, 0.13708549413976898, 0.1300229996682333, 0.17430304472972458]"
91,25,F,Medium,Suburban,Medium,0.2582829035399343,Health Conscious,"[0.229518215071607, 0.0036557788419145296, 0.014918670803168187, 0.01170048965110669, 0.10723392360487002, 0.1410317826658621, 0.019894979945619475, 0.058391939623674886, 0.3043320540015398, 0.10932216579063733]"
92,35,F,Medium,Urban,Medium,0.33897740333383863,Foodie,"[0.052074319892455596, 0.0007886276028831553, 0.023827119972051364, 0.10904124061011301, 0.4041654602717577, 0.008785765337663539, 0.04317856796796079, 0.2708199536064042, 0.01919543494483999, 0.06812350979387044]"
93,45,F,Low,Urban,Medium,0.24194254754902966,Tech Enthusiast,"[0.002418866939514821, 0.15094627138242603, 0.15499539376483615, 0.12367879632550578, 0.15391120604913097, 0.2011529011186244, 0.06928489064492606, 0.07602013384202853, 0.014522980191209435, 0.053068559741797645]"
94,45,F,Low,Urban,Medium,0.3170706766598718,Fashion Forward,"[0.0068133437967680946, 0.08814503486192778, 0.167530732078649, 0.0835744942040756, 0.09399651281561112, 0.11466541528725735, 0.16610598867247187, 0.031953613928464394, 0.1771362742267257, 0.07007859012804914]"
95,18,M,Medium,Suburban,Medium,0.17107318730966348,Movie Buff,"[0.14139245757112187, 0.02859893365688914, 0.04936167718965914, 0.006866220767438543, 0.17183698343231607, 0.15468369472949098, 0.28127110007910006, 0.03783551689138344, 0.02025638668156058, 0.1078970290010404]"
96,35,M,Medium,Rural,Medium,0.4783428795136312,Tech Enthusiast,"[0.15541142087773802, 0.0778482079867361, 0.10545869048527734, 0.2339555151790971, 0.13452414257304948, 0.005093213483303054, 0.16886552972211935, 0.02253254414124703, 0.04170527791880749, 0.05460545763262511]"
97,35,M,High,Suburban,Medium,0.26502123867434524,Health Conscious,"[0.1192682302324223, 0.09168233178438362, 0.2688728631500667, 0.006122835713105849, 0.005034203293204483, 0.028411164500998093, 0.02600031787053246, 0.02430781147012591, 0.4056997642047298, 0.024600477780430913]"
98,25,F,Medium,Suburban,Low,0.18830074437202055,Health Conscious,"[0.043909938818295004, 0.039161014385286415, 0.1528515110516458, 0.009349225557388858, 0.027949049781491226, 0.13637034812384186, 0.08220658189866824, 0.01416536178476409, 0.4423242392555754, 0.051712729343043086]"
99,55,F,Medium,Suburban,High,0.41143718583910144,Fashion Forward,"[0.36981146649755714, 0.09699353547268201, 0.08894811883064052, 0.012529247034246477, 0.016959902951296103, 0.02640385181758621, 0.029886134337618483, 0.1966301979226572, 0.0851955360652221, 0.07664200907049369]"
100,25,F,Medium,Urban,Medium,0.14302137381826854,Fitness Guru,"[0.015895987998678196, 0.11416237767507073, 0.025471104580800305, 0.010739917862789735, 0.4143827104018136, 0.06449721033708486, 0.1447356330679468, 0.035918158681544216, 0.16177724225759, 0.012419657136681545]"
